"state","date","inflation_yoy","inflation_mom","total_arrivals","total_male_arrivals","total_female_arrivals","cumulative_arrivals"
"Johor",2020-01-01,1.34285714285714,0.164285714285714,1621595,905601,715994,1621595
"Johor",2020-02-01,1.12857142857143,-0.0857142857142857,2715141,671718,421828,2715141
"Johor",2020-03-01,0.192857142857143,-0.671428571428571,3384967,409015,260811,3384967
"Johor",2020-04-01,-1.38571428571429,-1.60714285714286,3385263,236,60,3385263
"Johor",2020-05-01,-1.41428571428571,0.0714285714285714,3385484,206,15,3385484
"Johor",2020-06-01,-0.842857142857143,0.728571428571429,3385871,344,43,3385871
"Johor",2020-07-01,-0.564285714285714,0.407142857142857,3386682,686,125,3386682
"Johor",2020-08-01,-0.578571428571429,0.0428571428571429,3387513,759,72,3387513
"Johor",2020-09-01,-0.721428571428571,-0.0214285714285714,3388827,1196,118,3388827
"Johor",2020-10-01,-0.921428571428571,0,3389981,1053,101,3389981
"Johor",2020-11-01,-1.08571428571429,-0.0857142857142857,3390998,908,109,3390998
"Johor",2020-12-01,-0.885714285714286,0.257142857142857,3391945,825,122,3391945
"Johor",2021-01-01,-0.457142857142857,0.621428571428571,3392697,663,89,3392697
"Johor",2021-02-01,-0.192857142857143,0.207142857142857,3393516,720,99,3393516
"Johor",2021-03-01,0.742857142857143,0.221428571428571,3394448,819,113,3394448
"Johor",2021-04-01,2.7,0.0714285714285714,3395290,748,94,3395290
"Johor",2021-05-01,2.64285714285714,0.0285714285714286,3395739,412,37,3395739
"Johor",2021-06-01,1.84285714285714,0.0428571428571429,3395873,114,20,3395873
"Johor",2021-07-01,1.17142857142857,-0.214285714285714,3396070,163,34,3396070
"Johor",2021-08-01,1.07142857142857,-0.05,3396255,154,31,3396255
"Johor",2021-09-01,1.17142857142857,0.0642857142857143,3396461,171,35,3396461
"Johor",2021-10-01,1.45714285714286,0.285714285714286,3396767,255,51,3396767
"Johor",2021-11-01,1.72857142857143,0.157142857142857,3397387,448,172,3397387
"Johor",2021-12-01,1.58571428571429,0.15,3400572,1785,1400,3400572
"Johor",2022-01-01,1.11428571428571,0.157142857142857,3405387,2632,2183,3405387
"Johor",2022-02-01,0.957142857142857,0.0571428571428571,3408623,1876,1360,3408623
"Johor",2022-03-01,1.1,0.378571428571429,3416961,4931,3407,3416961
"Johor",2022-04-01,1.27857142857143,0.228571428571429,3852632,268606,167065,3852632
"Johor",2022-05-01,1.75,0.478571428571429,4562487,431647,278208,4562487
"Johor",2022-06-01,2.45,0.714285714285714,5505660,546327,396846,5505660
"Johor",2022-07-01,3.01428571428571,0.314285714285714,6631655,655916,470079,6631655
"Johor",2022-08-01,3.2,0.142857142857143,7754008,654584,467769,7754008
"Johor",2022-09-01,3.18571428571429,0.0642857142857143,8956450,680944,521498,8956450
"Johor",2022-10-01,3,0.0928571428571429,10164465,684451,523564,10164465
"Johor",2022-11-01,3.3,0.442857142857143,11379093,685950,528678,11379093
"Johor",2022-12-01,3.16428571428571,0.0285714285714286,12774732,749842,645797,12774732
"Johor",2023-01-01,3.34285714285714,0.335714285714286,14008808,693195,540881,14008808
"Johor",2023-02-01,3.54285714285714,0.264285714285714,15104839,629023,467008,15104839
"Johor",2023-03-01,3.26428571428571,0.0928571428571429,16406424,727417,574168,16406424
"Johor",2023-04-01,3.04285714285714,0.0285714285714286,17633775,682404,544947,17633775
"Johor",2023-05-01,2.53571428571429,-0.0214285714285714,18932276,738863,559638,18932276
"Johor",2023-06-01,2,0.178571428571429,20442621,820088,690257,20442621
"Johor",2023-07-01,1.79285714285714,0.114285714285714,21988569,850439,695509,21988569
"Johor",2023-08-01,1.82142857142857,0.185714285714286,23499055,844529,665957,23499055
"Johor",2023-09-01,1.80714285714286,0.0571428571428571,25098594,881702,717837,25098594
"Johor",2023-10-01,1.75714285714286,0.0357142857142857,26674232,879290,696348,26674232
"Johor",2023-11-01,1.45714285714286,0.157142857142857,28232671,856873,701566,28232671
"Johor",2023-12-01,1.51428571428571,0.0785714285714286,29985807,934618,818518,29985807
"Johor",2024-01-01,1.28571428571429,0.1,31141185,639527,515851,31141185
"Johor",2024-02-01,1.27857142857143,0.271428571428571,32530836,768268,621383,32530836
"Johor",2024-03-01,1.25,0.0714285714285714,34413175,1010380,871959,34413175
"Johor",2024-04-01,1.26428571428571,0.05,36050920,912098,725647,36050920
"Johor",2024-05-01,1.56428571428571,0.264285714285714,37844050,988447,804683,37844050
"Johor",2024-06-01,1.64285714285714,0.264285714285714,39921317,1112617,964650,39921317
"Kedah",2020-01-01,1.04285714285714,0.0785714285714286,85071,35097,49974,85071
"Kedah",2020-02-01,0.871428571428571,-0.05,149499,25646,38782,149499
"Kedah",2020-03-01,0.0214285714285714,-0.621428571428571,186679,16441,20739,186679
"Kedah",2020-04-01,-1.5,-1.57857142857143,200516,13161,676,200516
"Kedah",2020-05-01,-1.42857142857143,0.107142857142857,213440,12109,815,213440
"Kedah",2020-06-01,-0.985714285714286,0.578571428571429,225183,11001,742,225183
"Kedah",2020-07-01,-0.685714285714286,0.392857142857143,235203,9349,671,235203
"Kedah",2020-08-01,-0.721428571428572,0.0928571428571429,245542,9527,812,245542
"Kedah",2020-09-01,-0.807142857142857,0.00714285714285714,254837,8594,701,254837
"Kedah",2020-10-01,-0.985714285714286,-0.0214285714285714,264443,8867,739,264443
