"country_full","total_arrivals","percentage"
"Afghanistan",2750,0.00389640410783008
"Albania",1549,0.00219473816837411
"Algeria",22332,0.0316416351040223
"Andorra",194,0.000274873598879649
"Angola",169,0.000239451743353921
"Anguilla",4,5.66749688411648e-06
"Antarctica",6,8.50124532617472e-06
"Antigua & Barbuda",578,0.000818953299754831
"Argentina",16051,0.0227422481217384
"Armenia",2158,0.00305761456898084
"Aruba",2,2.83374844205824e-06
"Australia",889069,1.25969894681614
"Austria",33865,0.0479824454951511
"Azerbaijan",3931,0.00556973256286547
"Bahamas",240,0.000340049813046989
"Bahrain",5914,0.00837939414316621
"Bangladesh",1165402,1.65122805093578
"Barbados",231,0.000327297945057727
"Belarus",11138,0.0157811450738223
"Belgium",47579,0.0674134585623445
"Belize",277,0.000392474159225066
"Benin",319,0.000451982876508289
"Bermuda",4,5.66749688411648e-06
"Bhutan",1730,0.00245119240238038
"Bolivia",1050,0.00148771793208058
"Bosnia & Herzegovina",2041,0.00289184028512043
"Botswana",518,0.000733940846493084
"Bouvet Island",1,1.41687422102912e-06
"Brazil",35881,0.0508388639247458
"British Indian Ocean Territory",10,1.41687422102912e-05
"Brunei",2588744,3.66792463844381
"Bulgaria",9556,0.0135396500561543
"Burkina Faso",209,0.000296126712195086
"Burundi",157,0.000222449252701572
"Cambodia",210154,0.297761785046154
"Cameroon",844,0.00119584184254858
"Canada",192117,0.272205624721451
"Cape Verde",84,0.000119017434566446
"Central African Republic",13,1.84193648733786e-05
"Chad",770,0.00109099315019242
"Chile",8897,0.0126059299444961
"China",4008013,5.67885029724959
"Cocos (Keeling) Islands",3,4.25062266308736e-06
"Colombia",6282,0.00890080385650493
"Comoros",547,0.000775030198902929
"Congo - Brazzaville",96,0.000136019925218795
"Congo - Kinshasa",430,0.000609255915042522
"Cook Islands",1,1.41687422102912e-06
"Costa Rica",2269,0.00321488760751507
"Croatia",7211,0.010217080007841
"Cuba",856,0.00121284433320093
"Cyprus",2345,0.00332257004831329
"Czechia",25563,0.0362195557121674
"Côte d’Ivoire",685,0.000970558841404947
"Denmark",47641,0.0675013047640483
"Djibouti",438,0.000620590908810754
"Dominica",1366,0.00193545018592578
"Dominican Republic",712,0.00100881444537273
"Ecuador",2318,0.0032843144443455
"Egypt",61353,0.0869294840827996
"El Salvador",519,0.000735357720714113
"Equatorial Guinea",62,8.78462017038054e-05
"Eritrea",538,0.000762278330913666
"Estonia",8255,0.0116962966945954
"Eswatini",567,0.000803367683323511
"Ethiopia",1201,0.00170166593945597
"Fiji",5371,0.0076100314411474
"Finland",28014,0.0396923144279098
"France",335976,0.47603573328448
"Gabon",287,0.000406642901435357
"Gambia",844,0.00119584184254858
"Georgia",1936,0.00274306849191238
"Germany",339408,0.480898445611051
"Ghana",2582,0.00365836923869719
"Gibraltar",2,2.83374844205824e-06
"Greece",9507,0.0134702232193238
"Greenland",4,5.66749688411648e-06
"Grenada",525,0.000743858966040288
"Guadeloupe",1,1.41687422102912e-06
"Guatemala",827,0.00117175498079108
"Guinea",1748,0.0024766961383589
"Guinea-Bissau",26,3.68387297467571e-05
"Guyana",197,0.000279124221542737
"Haiti",240,0.000340049813046989
"Heard & McDonald Islands",1,1.41687422102912e-06
"Honduras",615,0.000871377645932909
"Hong Kong SAR China",27640,0.0391624034692449
"Hungary",21586,0.0305846469351346
"Iceland",1437,0.00203604825561885
"India",2345086,3.32269189949629
"Indonesia",8477856,12.012055615997
"Iran",61065,0.0865214243071432
"Iraq",34226,0.0484939370889427
"Ireland",51700,0.0732523972272055
"Israel",16,2.26699875364659e-05
"Italy",123871,0.175509626633098
"Jamaica",717,0.00101589881647788
"Japan",739722,1.0480930325281
"Jordan",24557,0.0347941802458121
"Kazakhstan",39276,0.0556491519051397
"Kenya",13558,0.0192099806887128
"Kiribati",116,0.000164357409639378
"Kuwait",22762,0.0322508910190648
"Kyrgyzstan",8974,0.0127150292595153
"Laos",55101,0.0780711864529255
"Latvia",6777,0.00960215659591434
"Lebanon",8141,0.0115347730333981
"Lesotho",174,0.000246536114459067
"Liberia",288,0.000408059775656387
"Libya",11524,0.0163280585231396
"Liechtenstein",241,0.000341466687268018
"Lithuania",14268,0.0202159613856435
"Luxembourg",1870,0.00264955479332445
"Macao SAR China",132,0.000187027397175844
"Madagascar",2161,0.00306186519164393
"Malawi",662,0.000937970734321277
"Maldives",80329,0.113816089301048
"Mali",331,0.000468985367160639
"Malta",1829,0.00259146295026226
"Marshall Islands",111,0.000157273038534232
"Mauritania",744,0.00105415442044567
"Mauritius",41679,0.0590539006582727
"Mayotte",2,2.83374844205824e-06
"Mexico",22342,0.0316558038462326
"Micronesia (Federated States of)",29,4.10893524098445e-05
"Moldova",1083,0.00153447478137454
"Monaco",103,0.000145938044765999
"Mongolia",16414,0.023256573463972
"Montenegro",564,0.000799117060660423
"Morocco",28552,0.0404545927588234
"Mozambique",956,0.00135453175530384
"Myanmar (Burma)",360931,0.511393829470261
"Namibia",616,0.000872794520153938
"Nauru",102,0.00014452117054497
"Nepal",449691,0.637155585328806
"Netherlands",174610,0.247400407733895
"New Caledonia",2,2.83374844205824e-06
"New Zealand",113255,0.160468089902653
"Nicaragua",243,0.000344300435710076
"Niger",90,0.000127518679892621
"Nigeria",15552,0.0220352278854449
"North Korea",9,1.27518679892621e-05
"North Macedonia",1332,0.00188727646241079
"Northern Mariana Islands",3,4.25062266308736e-06
"Norway",30007,0.0425161447504208
"Oman",39478,0.0559353604977876
"Pakistan",355369,0.503513175052897
"Palau",57,8.07618305986598e-05
"Palestinian Territories",10249,0.0145215438913274
"Panama",947,0.00134177988731458
"Papua New Guinea",2519,0.00356910616277235
"Paraguay",463,0.000656012764336482
"Peru",4860,0.00688600871420152
"Philippines",1147669,1.62610262037427
"Poland",61737,0.0874735637836748
"Portugal",27939,0.0395860488613326
"Puerto Rico",1,1.41687422102912e-06
"Qatar",5388,0.0076341183029049
"Romania",25980,0.0368103922623365
"Russia",281242,0.398484539670672
"Rwanda",297,0.000420811643645648
"Réunion",2,2.83374844205824e-06
"Samoa",113,0.000160106786976291
"San Marino",81,0.000114766811903359
"Saudi Arabia",151906,0.215231695419649
"Senegal",1799,0.00254895672363139
"Serbia",2946,0.00417411145515179
"Seychelles",2595,0.00367678860357057
"Sierra Leone",739,0.00104707004934052
"Singapore",34496707,48.8774948586948
"Slovakia",14033,0.0198829959437016
"Slovenia",5490,0.00777863947344987
"Solomon Islands",459,0.000650345267452366
"Somalia",7257,0.0102822562220083
"South Africa",45266,0.0641362284891041
"South Georgia & South Sandwich Islands",7,9.91811954720384e-06
"South Korea",1057434,1.49825097503971
"South Sudan",972,0.0013772017428403
"Spain",105701,0.149765022036999
